1,MATH,Toán,Mathematics,Math
2,PHYSICS,Vật lý,Physics,Phys
3,CHEMISTRY,Hóa học,Chemistry,Chem
4,BIOLOGY,Sinh học,Biology,Bio
5,INFORMATICS,Tin học,Informatics,Info
6,LITERATURE,Văn học,Literature,Lit,Văn,Ngữ văn
7,HISTORY,Lịch sử,History,Hist
8,GEOGRAPHY,Địa lý,Geography,Geo
9,FOREIGN_LANGUAGE,Ngoại ngữ,Foreign Language,FL
10,CITIZENSHIP,Giáo dục công dân,Citizenship,Cit,Đạo đức
11,TECHNOLOGY,Công nghệ,Technology,Tech
12,PHYSICAL,Thể dục,Physical Education,Phys Ed
13,ART,Mỹ thuật,Art
14,MUSIC,Âm nhạc,Music
15,NATIONAL_EDUCATION,Giáo dục quốc phòng,National Education,NE,Giáo dục QP-AN,QP-AN,Quốc phòng